,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
72,71,Wesley Walls*,CAR,TE,35,14,14,0,0,0,0,0,0,0,,0,73,43,452,10.51,5,0,,5,,,75,118.2,121.2,96.7,3,11,71
73,72,Keyshawn Johnson*,TAM,WR,29,15,15,0,0,0,0,0,0,0,,0,180,106,1266,11.94,1,2,1,1,,,131,236.6,240.6,183.6,1,28,72
74,73,Hines Ward*,PIT,WR,25,16,16,0,1,0,0,0,10,83,8.30,0,145,94,1003,10.67,4,1,1,4,,,131,224.6,228.6,177.6,1,29,73
75,74,Maurice Smith,ATL,RB,25,16,12,0,0,0,0,0,237,760,3.21,5,27,19,230,12.11,1,1,1,6,,,133,152.0,159.0,142.5,1,23,74
76,75,Deon Dyer,MIA,,24,16,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,0,,,,,,,,2,75
77,76,Warrick Dunn,TAM,RB,26,13,12,0,0,0,0,0,158,447,2.83,3,97,68,557,8.19,3,2,2,6,,,132,200.4,208.4,166.4,,24,76
78,77,Chris Chambers,MIA,WR,23,16,7,0,0,0,0,0,1,-11,-11.00,0,90,48,883,18.40,7,2,,7,,,129,177.2,180.2,153.2,,30,77
79,78,Jake Plummer,ARI,QB,27,16,16,304,525,3653,18,14,35,163,4.66,0,0,0,0,,0,8,3,0,1,,202,202.4,225.4,216.4,,12,78
80,79,Daunte Culpepper,MIN,QB,24,11,11,235,366,2612,14,13,71,416,5.86,5,1,1,0,0.00,0,16,6,5,3,1,202,203.1,228.1,215.6,,13,
81,80,Brad Johnson,TAM,QB,33,16,16,340,559,3406,13,11,39,120,3.08,3,0,0,0,,0,4,2,3,,2,196,196.2,215.2,207.2,,14,
82,81,Brian Griese,DEN,QB,26,15,15,275,451,2827,23,19,50,173,3.46,1,1,1,-6,-6.00,0,7,1,1,,2,192,192.8,218.8,211.3,,15,
83,82,Kerry Collins,NYG,QB,29,16,16,327,568,3764,19,16,39,73,1.87,0,1,1,-2,-2.00,0,23,6,0,,,190,190.7,215.7,206.2,,16,
84,83,Trent Green,KAN,QB,31,16,16,296,523,3783,17,24,35,158,4.51,0,1,1,1,1.00,0,11,4,0,1,2,185,186.2,220.2,209.7,,17,
85,84,Doug Flutie,SDG,QB,39,16,16,294,521,3464,15,18,53,192,3.62,1,0,0,0,,0,7,2,1,,,184,183.8,209.8,201.8,,18,
86,85,Chris Weinke,CAR,QB,29,15,15,293,540,2931,11,19,37,128,3.46,6,0,0,0,,0,11,2,6,,,168,168.0,195.0,187.0,,19,
87,86,Tom Brady*,NWE,QB,24,15,14,264,413,2843,18,12,36,43,1.19,0,1,1,23,23.00,0,12,3,0,,,162,163.3,181.3,174.8,,20,
88,87,Chris Chandler,ATL,QB,36,14,14,223,365,2847,16,14,25,84,3.36,0,0,0,0,,0,8,1,0,,1,158,158.3,176.3,172.3,,21,
89,88,Tim Couch,CLE,QB,24,16,16,272,454,3040,17,21,38,128,3.37,0,1,1,-10,-10.00,0,9,3,0,,,153,154.4,184.4,174.9,,22,
90,89,Elvis Grbac,BAL,QB,31,14,14,265,467,3033,15,18,21,18,0.86,1,0,0,0,,0,9,5,1,,,143,143.1,169.1,161.1,,23,
91,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
92,90,Vinny Testaverde,NYJ,QB,38,16,16,260,441,2752,15,14,31,25,0.81,0,0,0,0,,0,12,2,0,,,141,140.6,159.6,154.6,,24,
93,91,Jon Kitna,CIN,QB,29,16,15,313,581,3216,12,22,27,73,2.70,1,0,0,0,,0,13,4,1,,1,140,139.9,168.9,161.9,,25,
94,92,Tony Banks,WAS,QB,28,15,14,198,370,2386,10,10,47,152,3.23,2,0,0,0,,0,10,4,2,,1,137,136.6,156.6,146.6,,26,
95,93,Emmitt Smith,DAL,RB,32,14,14,0,0,0,0,0,261,1021,3.91,3,21,17,116,6.82,0,1,1,3,,,130,146.7,153.7,138.2,,25,
96,94,Kevin Dyson,TEN,WR,26,16,16,0,0,0,0,0,0,0,,0,112,54,825,15.28,7,0,,7,1,,127,180.5,183.5,153.5,,31,
97,95,Jamel White,CLE,RB,24,16,7,0,0,0,0,0,126,443,3.52,5,60,44,418,9.50,1,1,1,6,1,,122,166.1,173.1,144.1,,26,
98,96,Eric Moulds,BUF,WR,28,16,16,0,0,0,0,0,3,3,1.00,0,135,67,904,13.49,5,1,1,5,1,,121,187.7,191.7,154.2,,32,
99,97,Cris Carter,MIN,WR,36,16,16,0,0,0,0,0,1,4,4.00,0,130,73,871,11.93,6,2,2,6,,,120,192.5,197.5,156.0,,33,
100,98,Antonio Freeman,GNB,WR,29,16,16,0,0,0,0,0,1,-5,-5.00,0,108,52,818,15.73,6,1,,6,1,,119,171.3,174.3,145.3,,34,
101,99,Charlie Batch,DET,QB,27,10,9,198,341,2392,12,12,12,45,3.75,0,0,0,0,,0,6,4,0,,1,118,118.2,137.2,130.2,,27,
102,100,Ron Dayne,NYG,RB,23,16,7,0,0,0,0,0,180,690,3.83,7,11,8,67,8.38,0,2,1,7,1,,118,125.7,129.7,121.7,,27,
103,101,Jim Miller,CHI,QB,30,14,13,228,395,2299,13,10,29,-19,-0.66,0,0,0,0,,0,7,3,0,,,116,116.1,132.1,126.1,,28,
104,102,David Patten,NWE,WR,27,16,14,1,2,60,1,1,5,67,13.40,1,94,51,749,14.69,4,1,,5,,,116,167.0,171.0,142.5,,35,
105,103,Alex Van Pelt,BUF,QB,31,12,8,178,307,2056,12,11,12,33,2.75,0,0,0,0,,0,5,1,0,,1,112,111.5,126.5,122.5,,29,
106,104,Travis Henry,BUF,RB,23,13,12,0,0,0,0,0,213,729,3.42,4,27,22,179,8.14,0,5,2,4,,,111,132.8,140.8,121.8,,28,
107,105,Michael Bennett,MIN,RB,23,13,13,0,0,0,0,0,172,682,3.97,2,38,29,226,7.79,1,0,,3,,,109,137.8,143.8,123.3,,29,
108,106,Jeff Graham,SDG,WR,32,14,11,0,0,0,0,0,0,0,,0,110,52,811,15.60,5,1,1,5,,,109,161.1,165.1,135.1,,36,
109,107,Kevan Barlow,SFO,RB,22,15,0,0,0,0,0,0,125,512,4.10,4,28,22,247,11.23,1,1,,5,,,106,127.9,133.9,116.9,,30,
110,108,James Stewart,DET,RB,30,11,10,0,0,0,0,0,143,685,4.79,1,26,23,242,10.52,1,0,,2,,,105,127.7,133.7,116.2,,31,
111,109,Ike Hilliard,NYG,WR,25,14,10,0,0,0,0,0,1,21,21.00,0,88,52,659,12.67,6,0,,6,,,104,156.0,159.0,130.0,,37,
112,110,Matt Hasselbeck,SEA,QB,26,13,12,176,321,2023,7,8,40,141,3.53,0,0,0,0,,0,6,2,0,,,103,103.0,119.0,111.0,,30,
113,111,Edgerrin James,IND,RB,23,6,6,0,0,0,0,0,151,662,4.38,3,29,24,193,8.04,0,3,2,3,1,,102,125.5,133.5,113.5,,32,
114,112,J.J. Stokes,SFO,WR,29,16,16,0,0,0,0,0,0,0,,0,90,54,585,10.83,7,0,,7,,,101,154.5,157.5,127.5,,38,
115,113,Larry Centers*,BUF,RB,33,16,13,0,0,0,0,0,34,160,4.71,2,105,80,620,7.75,2,2,1,4,,,100,180.0,187.0,140.0,,33,
116,114,Rocket Ismail,DAL,WR,32,14,13,0,0,0,0,0,8,31,3.88,0,93,53,834,15.74,2,0,,2,,,99,151.5,154.5,125.0,,39,
117,115,Rod Gardner,WAS,WR,24,16,16,0,0,0,0,0,1,16,16.00,0,101,46,741,16.11,4,1,1,4,,,98,143.7,147.7,120.7,,40,
118,116,Mike Anderson,DEN,RB,28,16,7,0,0,0,0,0,175,678,3.87,4,12,8,46,5.75,0,1,1,4,1,,96,104.4,108.4,100.4,,34,
119,117,Darnay Scott,CIN,WR,29,16,15,0,0,0,0,0,0,0,,0,103,57,819,14.37,2,0,,2,,,94,150.9,153.9,122.4,,41,
120,118,Bob Christian,ATL,RB,33,16,8,0,0,0,0,0,44,284,6.45,2,60,45,392,8.71,2,0,,4,,,92,136.6,142.6,114.1,,35,
121,119,Joey Galloway,DAL,WR,30,16,16,1,1,-1,0,0,3,32,10.67,0,112,52,699,13.44,3,1,,3,,,91,143.1,146.1,117.1,,43,
122,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
123,120,Richard Huntley,CAR,RB,29,14,9,0,1,0,0,0,165,665,4.03,2,32,21,101,4.81,1,3,2,3,,,91,111.6,119.6,101.1,,36,
124,121,Michael Westbrook,WAS,WR,29,16,16,0,0,0,0,0,2,8,4.00,0,91,57,664,11.65,4,0,,4,,,91,148.2,151.2,119.7,,42,
125,122,Trung Canidate,STL,RB,24,16,2,0,0,0,0,0,78,441,5.65,6,23,17,154,9.06,0,3,3,6,,,90,106.5,115.5,98.0,,37,
126,123,Terry Allen,BAL,RB,33,11,8,0,0,0,0,0,168,658,3.92,3,20,17,68,4.00,0,1,1,3,,,89,105.6,109.6,97.1,,38,
127,124,Joe Jurevicius,NYG,WR,27,14,9,0,0,0,0,0,0,0,,0,92,51,706,13.84,3,0,,3,,,89,139.6,142.6,114.1,,45,
128,125,Ricky Proehl,STL,WR,33,16,2,0,0,0,0,0,1,5,5.00,0,55,40,563,14.08,5,0,,5,1,,89,128.8,131.8,108.8,,44,
129,126,Jason Brookins,BAL,RB,25,12,3,0,0,0,0,0,151,551,3.65,5,9,6,45,7.50,0,3,1,5,,,88,93.6,97.6,90.6,,39,
130,127,Tony Richardson,KAN,RB,30,14,8,0,0,0,0,0,66,191,2.89,7,40,30,265,8.83,0,0,,7,,,88,117.6,123.6,102.6,,40,
131,128,Rob Johnson,BUF,QB,28,8,8,134,216,1465,5,7,36,241,6.69,1,0,0,0,,0,6,4,1,,,87,86.7,103.7,93.7,,31,
132,129,James McKnight,MIA,WR,29,16,15,0,0,0,0,0,6,39,6.50,0,90,55,684,12.44,3,3,3,3,1,,86,141.3,147.3,113.8,,46,
133,130,Oronde Gadsden,MIA,WR,30,14,14,0,0,0,0,0,0,0,,0,93,55,674,12.25,3,1,,3,,,85,140.4,143.4,112.9,,47,
134,131,Todd Pinkston,PHI,WR,24,15,15,0,0,0,0,0,1,5,5.00,0,84,42,586,13.95,4,0,,4,,,83,125.1,128.1,104.1,,48,
135,132,Chris Fuamatu-Ma'afala,PIT,RB,24,16,5,0,0,0,0,0,120,453,3.78,3,20,16,127,7.94,1,0,,4,,,82,98.0,104.0,90.0,,41,
136,133,Wayne Chrebet,NYJ,WR,28,15,15,0,0,0,0,0,0,0,,0,92,56,750,13.39,1,0,,1,,,81,137.0,140.0,109.0,,49,
137,134,Thomas Jones,ARI,RB,23,16,2,0,0,0,0,0,112,380,3.39,5,24,21,151,7.19,0,2,1,5,,,81,102.1,109.1,91.6,,42,
138,135,Correll Buckhalter,PHI,RB,23,15,6,0,0,0,0,0,129,586,4.54,2,21,13,130,10.00,0,2,2,2,,,80,92.6,100.6,86.1,,43,
139,136,James Allen,CHI,RB,26,16,7,0,0,0,0,0,135,469,3.47,1,43,30,203,6.77,1,1,,2,,,79,109.2,115.2,94.2,,44,
140,137,Travis Taylor,BAL,WR,23,16,13,0,0,0,0,0,5,46,9.20,0,90,42,560,13.33,3,0,,3,,,79,120.6,123.6,99.6,,50,
141,138,Travis Minor,MIA,RB,22,16,0,0,0,0,0,0,59,281,4.76,2,37,29,263,9.07,1,0,,4,,,78,107.4,113.4,92.9,,45,
142,139,Cory Schlesinger,DET,RB,29,16,13,0,0,0,0,0,47,154,3.28,3,85,60,466,7.77,0,1,1,3,,,78,138.0,145.0,108.0,,46,
143,140,Terrell Davis,DEN,RB,29,8,8,0,0,0,0,0,167,701,4.20,0,21,12,69,5.75,0,2,,0,,,77,89.0,92.0,83.0,,47,
