,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
372,361,Kenny Jackson,PHI,WR,29,16,2,0,0,0,0,0,1,18,18.00,0,4,29,7.25,0,0,,0,,,5,8.7,8.7,6.7,,126,
373,362,Tracy Johnson,ATL,RB,25,16,5,0,0,0,0,0,8,26,3.25,0,3,27,9.00,0,0,,0,,,5,8.3,8.3,6.8,,121,
374,363,Brian Mitchell,WAS,RB,23,16,0,0,0,0,0,0,3,14,4.67,0,0,0,,0,8,,2,,,5,5.4,9.4,5.4,,120,
375,364,Bill Musgrave,SFO,QB,24,1,0,4,5,33,1,0,0,0,,0,0,0,,0,0,,0,,,5,5.3,5.3,5.3,,55,
376,365,Chris Warren,SEA,RB,23,16,1,0,0,0,0,0,11,13,1.18,0,2,9,4.50,0,3,,1,,,5,7.2,8.7,6.2,,122,
377,366,Don Warren,WAS,TE,35,10,7,0,0,0,0,0,0,0,,0,5,51,10.20,0,0,,0,,,5,10.1,10.1,7.6,,59,
378,367,Erik Wilhelm,CIN,QB,26,4,1,24,42,217,0,2,1,9,9.00,0,0,0,,0,1,,0,,,5,4.6,7.1,6.6,,56,
379,368,Albert Bentley,IND,RB,31,1,0,0,0,0,0,0,0,0,,0,7,42,6.00,0,0,,0,,,4,11.2,11.2,7.7,,127,
380,369,Cap Boso,CHI,TE,28,6,1,0,0,0,0,0,0,0,,0,3,36,12.00,0,0,,0,,,4,6.6,6.6,5.1,,62,
381,370,A.B. Brown,NYJ,RB,26,9,0,0,0,0,0,0,3,4,1.33,1,0,0,,0,2,,1,,,4,4.4,5.4,4.4,,124,
382,371,Jeff Campbell,DET,WR,23,14,1,0,0,0,0,0,0,0,,0,2,49,24.50,0,1,,0,,,4,5.9,6.4,4.9,,128,
383,372,Shawn Collins,ATL,WR,24,4,1,0,0,0,0,0,0,0,,0,3,37,12.33,0,0,,0,,,4,6.7,6.7,5.2,,131,
384,373,Dale Dawkins,NYJ,WR,25,15,0,0,0,0,0,0,0,0,,0,3,38,12.67,0,0,,0,,,4,6.8,6.8,5.3,,129,
385,374,Cedric Jackson,DET,RB,23,8,1,0,0,0,0,0,17,55,3.24,0,1,-2,-2.00,0,1,,0,,,4,5.3,5.8,4.8,,125,
386,375,Darren Lewis,CHI,RB,23,15,0,0,0,0,0,0,15,36,2.40,0,0,0,,0,0,,0,,,4,3.6,3.6,3.6,,128,
387,376,Walter Reeves,PHO,TE,26,15,13,0,0,0,0,0,0,0,,0,8,45,5.63,0,1,,0,,,4,11.5,12.0,7.5,,63,
388,377,Chris Samuels,SDG,RB,22,3,0,0,0,0,0,0,2,10,5.00,0,2,33,16.50,0,0,,0,,,4,6.3,6.3,5.3,,126,
389,378,Derek Tennell,DET,TE,27,15,2,0,0,0,0,0,0,0,,0,4,43,10.75,0,0,,0,,,4,8.3,8.3,6.3,,61,
390,379,Reggie Thornton,IND,WR,24,5,0,0,0,0,0,0,0,0,,0,1,38,38.00,0,0,,0,,,4,4.8,4.8,4.3,,130,
391,380,Kimble Anders,KAN,RB,25,2,0,0,0,0,0,0,0,0,,0,2,30,15.00,0,0,,0,,,3,5.0,5.0,4.0,,130,
392,381,Sanjay Beach,SFO,WR,25,16,0,0,0,0,0,0,0,0,,0,4,43,10.75,0,1,,0,,,3,7.3,7.8,5.3,,132,
393,382,David Daniels,SEA,WR,22,16,0,0,0,0,0,0,0,0,,0,4,38,9.50,0,1,,0,,,3,6.8,7.3,4.8,,135,
394,383,Bobby Humphrey,DEN,RB,25,4,0,0,0,0,0,0,11,33,3.00,0,0,0,,0,0,,0,,,3,3.3,3.3,3.3,,129,
395,384,Ron Middleton,WAS,TE,26,12,12,0,0,0,0,0,0,0,,0,3,25,8.33,0,0,,0,,,3,5.5,5.5,4.0,,66,
396,385,Pat Newman,NOR,WR,23,7,0,0,0,0,0,0,0,0,,0,3,33,11.00,0,0,,0,,,3,6.3,6.3,4.8,,133,
397,386,Brent Novoselsky,MIN,TE,25,16,0,0,0,0,0,0,0,0,,0,4,27,6.75,0,0,,0,,,3,6.7,6.7,4.7,,65,
398,387,James Pruitt,MIA,WR,27,5,0,0,0,0,0,0,0,0,,0,2,30,15.00,0,0,,0,,,3,5.0,5.0,4.0,,134,
399,388,Doug Thomas,SEA,WR,22,11,0,0,0,0,0,0,0,0,,0,3,27,9.00,0,0,,0,,,3,5.7,5.7,4.2,,136,
400,389,Ken Whisenhunt,NYJ,TE,29,7,2,0,0,0,0,0,0,0,,0,4,34,8.50,0,0,,0,,,3,7.4,7.4,5.4,,64,
401,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
402,390,Eric Bieniemy,SDG,RB,22,15,0,0,0,0,0,0,3,17,5.67,0,0,0,,0,0,,0,,,2,1.7,1.7,1.7,,135,
403,391,Kerry Cash,IND,TE,22,4,2,0,0,0,0,0,0,0,,0,1,18,18.00,0,0,,0,,,2,2.8,2.8,2.3,,69,
404,392,Shane Garrett,CIN,WR,24,4,0,0,0,0,0,0,0,0,,0,3,32,10.67,0,1,,0,,,2,5.2,5.7,3.7,,138,
405,393,Jeff Graham,PIT,WR,22,13,1,0,0,0,0,0,0,0,,0,2,21,10.50,0,0,,0,,,2,4.1,4.1,3.1,,139,
406,394,Charles Henry,MIA,TE,27,6,2,0,0,0,0,0,0,0,,0,2,17,8.50,0,0,,0,,,2,3.7,3.7,2.7,,70,
407,395,Alonzo Highsmith,2TM,RB,26,13,0,0,0,0,0,0,5,21,4.20,0,0,0,,0,0,,0,,,2,2.1,2.1,2.1,,133,
408,396,Stephen Hobbs,WAS,WR,26,16,0,0,0,0,0,0,0,0,,0,3,24,8.00,0,0,,0,,,2,5.4,5.4,3.9,,137,
409,397,Glen Kozlowski,CHI,WR,29,16,0,0,0,0,0,0,0,0,,0,2,16,8.00,0,0,,0,,,2,3.6,3.6,2.6,,142,
