player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Mike Gillislee,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,1.0,0,9,0.0,0.0,117.0,125.7,26.852684533704757,0.0,0.0,0.0,0.0,0.0,104.3123514578531,595.9230375364479,5.89726264182516,8.262364471909155,11.360751148875089,9.2951600308978,51.63977794943222,5.742343307976863,1.0327955589886444,1.0327955589886444,0.0,9.2951600308978,0.0,0.0,120.8370804016714,129.8224017648726,2016
Marvin Jones,DET,WR,26,15,15,0,0,0,0,0,1,3,3.0,0,103,55,930,16.91,4,0.0,0,4,0.0,0.0,117.0,172.3,26.852684533704757,0.0,0.0,0.0,0.0,0.0,1.0327955589886444,3.0983866769659336,3.0983866769659336,0.0,106.37794257583037,56.803755744375444,960.4998698594394,17.464572902497977,4.131182235954578,0.0,0.0,4.131182235954578,0.0,0.0,120.8370804016714,177.95067481374346,2016
Marqise Lee,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1.0,1,4,0.0,0.0,115.0,178.4,25.0,1.0,1.0,20.0,1.0,0.0,6.0,35.0,5.83,0.0,105.0,63.0,851.0,13.51,3.0,1.0,1.0,4.0,0.0,0.0,115.0,178.4,2016
Christine Michael,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,2.0,1,8,0.0,0.0,115.0,137.0,26.852684533704757,0.0,0.0,0.0,0.0,0.0,152.85374273031937,602.1198108903798,4.069214502415259,7.229568912920511,29.95107121067069,22.721502297750177,110.50912481178496,5.019386416684813,1.0327955589886444,2.065591117977289,1.0327955589886444,8.262364471909155,0.0,0.0,118.77148928369411,141.4929915814443,2016
Cole Beasley,DAL,WR,27,16,6,0,1,0,0,0,1,7,7.0,0,98,75,833,11.11,5,0.0,0,5,0.0,0.0,114.0,189.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,98.0,75.0,833.0,11.11,5.0,0.0,0.0,5.0,0.0,0.0,114.0,189.0,2016
Steve Smith Sr.,BAL,WR,37,14,14,0,0,0,0,0,0,0,0.0,0,101,70,799,11.41,5,0.0,0,5,2.0,0.0,114.0,183.9,39.55466380303881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.97354173261945,74.83314773547883,854.1669291521083,12.19780308088305,5.3452248382484875,0.0,0.0,5.3452248382484875,2.138089935299395,0.0,121.87112631206553,196.59736955077938,2016
Cameron Meredith,CHI,WR,24,14,10,1,1,2,1,0,1,6,6.0,0,97,66,888,13.45,4,3.0,2,4,0.0,0.0,113.0,179.5,25.657079223592742,1.0690449676496976,1.0690449676496976,2.138089935299395,1.0690449676496976,0.0,1.0690449676496976,6.4142698058981855,6.4142698058981855,0.0,103.69736186202066,70.55696786488004,949.3119312729315,14.378654814888431,4.27617987059879,3.2071349029490928,2.138089935299395,4.27617987059879,0.0,0.0,120.80208134441583,191.89357169312072,2016
Devontae Booker,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,4.0,3,5,0.0,0.0,112.0,142.7,24.0,0.0,0.0,0.0,0.0,0.0,174.0,612.0,3.52,4.0,45.0,31.0,265.0,8.55,1.0,4.0,3.0,5.0,0.0,0.0,112.0,142.7,2016
Quincy Enunwa,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12.0,0,105,58,857,14.78,4,0.0,0,4,0.0,0.0,111.0,168.9,24.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,105.0,58.0,857.0,14.78,4.0,0.0,0.0,4.0,0.0,0.0,111.0,168.9,2016
Case Keenum,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,0.0,0,5.0,1,1,0.0,0.0,111.0,111.1,35.41750979388585,247.92256855720092,407.3013626296872,2784.069252012241,11.384199576606164,13.914021704740868,25.298221281347033,64.51046426743494,3.2255232133717464,1.2649110640673518,0.0,0.0,0.0,0.0,0.0,6.324555320336758,1.2649110640673518,1.2649110640673518,0.0,0.0,140.40512811147605,140.53161921788276,2016
