player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Taylor Heinicke,WAS,QB,28,16,15,321.0,494.0,3419.0,20.0,15.0,60.0,313.0,5.22,1.0,1.0,1.0,-2.0,-2.0,0.0,7.0,2.0,1,1.0,0.0,222.0,222.9,28.861739379323623,330.8792264558173,509.2035447637811,3524.2245334966956,20.615528128088304,15.461646096066227,61.84658438426491,322.63301520458197,5.380652841431047,1.0307764064044151,1.0307764064044151,1.0307764064044151,-2.0615528128088303,-2.0615528128088303,0.0,7.215434844830906,2.0615528128088303,1.0307764064044151,1.0307764064044151,0.0,228.83236222178016,229.76006098754414
Ben Roethlisberger,PIT,QB,39,16,16,390.0,605.0,3740.0,22.0,10.0,20.0,5.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,1,0.0,2.0,218.0,218.1,40.200279849772194,402.0027984977219,623.6197258746712,3855.1037599525125,22.677080940897135,10.307764064044152,20.615528128088304,5.153882032022076,0.2576941016011038,1.0307764064044151,0.0,0.0,0.0,0.0,0.0,11.338540470448567,5.153882032022076,1.0307764064044151,0.0,2.0615528128088303,224.7092565961625,224.81233423680294
Teddy Bridgewater,DEN,QB,29,14,14,285.0,426.0,3052.0,18.0,7.0,30.0,106.0,3.53,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,1.0,203.0,202.7,31.956443571121707,314.05470406102364,469.42913659647746,3363.1401992780497,19.83503394069623,7.713624310270757,33.05838990116039,116.80631098410004,3.8898705450365387,2.203892660077359,0.0,0.0,0.0,0.0,0.0,1.1019463300386796,1.1019463300386796,2.203892660077359,0.0,1.1019463300386796,223.69510499785196,223.36452109884033
Trevor Lawrence,JAX,QB,22,17,17,359.0,602.0,3641.0,12.0,17.0,73.0,334.0,4.58,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2,0.0,2.0,199.0,199.0,22.0,359.0,602.0,3641.0,12.0,17.0,73.0,334.0,4.58,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,0.0,2.0,199.0,199.0
Jared Goff,DET,QB,27,14,14,332.0,494.0,3245.0,19.0,8.0,17.0,87.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0,0.0,4.0,195.0,194.5,29.75255091104435,365.8461815728416,544.3614870391077,3575.815840975515,20.93698027073491,8.815570640309437,18.733087610657552,95.86933071336512,5.641965209798039,0.0,0.0,0.0,0.0,0.0,0.0,9.917516970348116,6.611677980232077,0.0,0.0,4.407785320154718,214.8795343575425,214.32856119252318
Baker Mayfield,CLE,QB,26,14,14,253.0,418.0,3010.0,17.0,13.0,37.0,134.0,3.62,1.0,0.0,0.0,11.0,0.0,0.0,6.0,3.0,1,0.0,2.0,181.0,180.9,28.650604581005666,278.7924214997859,460.61356595616803,3316.8584534164256,18.733087610657552,14.325302290502833,40.77201421143114,147.66080822518305,3.98904571474002,1.1019463300386796,0.0,0.0,12.121409630425475,0.0,0.0,6.611677980232077,3.3058389901160385,1.1019463300386796,0.0,2.203892660077359,199.452285737001,199.34209110399712
Tua Tagovailoa,MIA,QB,23,13,12,263.0,388.0,2653.0,16.0,10.0,42.0,128.0,3.05,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3,0.0,1.0,181.0,180.9,26.30150624525582,300.75200619575133,443.6949749199677,3033.821568202769,18.2966999966997,11.435437497937313,48.02883749133671,146.3735999735976,3.48780843687088,3.430631249381194,0.0,0.0,0.0,0.0,0.0,10.29189374814358,1.1435437497937313,3.430631249381194,0.0,1.1435437497937313,206.98141871266535,206.867064337686
Daniel Jones,NYG,QB,24,11,11,232.0,361.0,2428.0,10.0,7.0,62.0,298.0,4.81,2.0,1.0,1.0,16.0,16.0,0.0,7.0,3.0,2,2.0,1.0,167.0,167.5,29.83591490438693,288.4138440757403,448.7818866868201,3018.4000578271443,12.431631210161221,8.702141847112854,77.07611350299956,370.4626100628044,5.979614612087547,2.486326242032244,1.243163121016122,1.243163121016122,19.890609936257952,19.890609936257952,0.0,8.702141847112854,3.729489363048366,2.486326242032244,2.486326242032244,1.243163121016122,207.60824120969238,208.22982277020046
Sam Darnold,CAR,QB,24,12,11,243.0,406.0,2527.0,9.0,13.0,48.0,222.0,4.63,5.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5,0.0,1.0,157.0,157.3,28.5657137141714,289.2278513559854,483.23665699806617,3007.7316064879637,10.712142642814275,15.473094928509509,57.1314274283428,264.23285185608546,5.510802270692232,5.951190357119041,0.0,0.0,0.0,0.0,0.0,10.712142642814275,4.760952285695233,5.951190357119041,0.0,1.1902380714238083,186.8673772135379,187.22444863496506
Davis Mills,HOU,QB,23,13,11,263.0,394.0,2664.0,16.0,10.0,18.0,44.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0,1.0,1.0,157.0,157.0,26.30150624525582,300.75200619575133,450.5562374187301,3046.4005494505,18.2966999966997,11.435437497937313,20.58378749628716,50.315924990924174,2.790246749496704,0.0,0.0,0.0,0.0,0.0,0.0,5.7177187489686565,1.1435437497937313,0.0,1.1435437497937313,1.1435437497937313,179.5363687176158,179.5363687176158
Zach Wilson,NYJ,QB,22,13,13,213.0,383.0,2334.0,9.0,11.0,29.0,185.0,6.38,4.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4,1.0,1.0,152.0,151.9,25.157962495462087,243.57481870606475,437.97725617099906,2669.031112018569,10.29189374814358,12.578981247731043,33.16276874401821,211.5555937118403,7.2958091236840055,4.574174999174925,1.1435437497937313,0.0,0.0,0.0,0.0,5.7177187489686565,1.1435437497937313,4.574174999174925,1.1435437497937313,1.1435437497937313,173.81864996864715,173.70429559366778
